Id,Rarity Score,Rank,Attribute Count,Punk Type,Full Type,Hair,Eyes,Facial Hair,Blemishes,Neck Accessory,Mouth Prop,Mouth,Nose,Ears
27,56.7,9878,2,Male,Male-Light,Peak Spike,,,,,,,,Earring
28,61.69,9559,2,Male,Male-Dark,Crazy Hair,Big Shades,,,,,,,
29,111.38,4086,3,Female,Female-Mid,Half Shaved,Horned Rim Glasses,,,,,,,Earring
30,82.94,7312,2,Male,Male-Dark,Cap,,Normal Beard Black,,,,,,
31,74.43,8492,1,Female,Female-Dark,Stringy Hair,,,,,,,,
32,126.16,2791,2,Male,Male-Light,,VR,,,,,Frown,,
33,81.18,7509,1,Male,Male-Light,Peak Spike,,,,,,,,
34,61.82,9543,2,Female,Female-Light,Frumpy Hair,,,,,,Purple Lipstick,,
35,172.61,908,5,Male,Male-Dark,Peak Spike,Horned Rim Glasses,Normal Beard,,,Cigarette,,,Earring
36,120.3,3362,1,Female,Female-Mid,Red Mohawk,,,,,,,,
37,77.6,8023,2,Female,Female-Dark,Cap,Clown Eyes Blue,,,,,,,
38,78.6,7855,3,Female,Female-Light,Frumpy Hair,Classic Shades,,,,,Purple Lipstick,,
39,107.11,4620,3,Male,Male-Light,Shaved Head,Regular Shades,,,,,Frown,,
40,115.76,3750,3,Male,Male-Light,Bandana,,Chinstrap,,,,Smile,,
41,98.27,5556,3,Male,Male-Dark,Wild Hair,Clown Eyes Green,Muttonchops,,,,,,
42,57.18,9858,2,Female,Female-Dark,Wild Hair,,,,,Cigarette,,,
43,120.3,3363,1,Female,Female-Mid,Half Shaved,,,,,,,,
44,69.92,8885,1,Male,Male-Light,Messy Hair,,,,,,,,
45,78.79,7809,2,Male,Male-Mid,,,,Mole,,,,,Earring
46,106.54,4683,2,Female,Female-Mid,Straight Hair Dark,,,,,,Purple Lipstick,,
47,72.48,8663,1,Male,Male-Dark,Knitted Cap,,,,,,,,
48,59.78,9731,2,Male,Male-Light,Mohawk,Big Shades,,,,,,,
49,82.03,7418,2,Female,Female-Dark,Bandana,Purple Eye Shadow,,,,,,,
50,154.28,1337,2,Male,Male-Mid,Fedora,,,Spots,,,,,
51,76.96,8142,3,Male,Male-Mid,Wild Hair,,Muttonchops,,,,,,Earring
52,84.64,7113,4,Male,Male-Dark,Knitted Cap,Nerd Glasses,Shadow Beard,,,,,,Earring
53,107.64,4546,2,Female,Female-Light,Straight Hair,Big Shades,,,,,,,
54,87.22,6813,1,Male,Male-Dark,Hoodie,,,,,,,,
55,107.98,4503,1,Male,Male-Light,,Eye Patch,,,,,,,
56,81.94,7425,1,Male,Male-Dark,Shaved Head,,,,,,,,
57,72.81,8643,1,Male,Male-Light,Headband,,,,,,,,
58,92.64,6246,2,Male,Male-Mid,Hoodie,,Normal Beard Black,,,,,,
59,134.19,2240,2,Male,Male-Albino,Cowboy Hat,,Muttonchops,,,,,,
60,60.79,9648,2,Female,Female-Light,Stringy Hair,,,,,,Purple Lipstick,,
61,116.18,3709,1,Female,Female-Light,Dark Hair,,,,,,,,
62,92.42,6274,4,Female,Female-Dark,Mohawk Dark,Clown Eyes Blue,,,,,Hot Lipstick,,Earring
63,80.78,7551,3,Male,Male-Dark,Shaved Head,Small Shades,,,,,,,Earring
64,108.42,4443,2,Female,Female-Mid,Straight Hair Blonde,,,,,,Purple Lipstick,,
65,81.27,7503,2,Female,Female-Mid,Headband,Eye Mask,,,,,,,
66,109.02,4374,1,Female,Female-Dark,Tassle Hat,,,,,,,,
67,139.4,1958,3,Female,Female-Dark,Half Shaved,3D Glasses,,,,,Purple Lipstick,,
68,69.66,8902,2,Male,Male-Dark,Do-rag,Nerd Glasses,,,,,,,
69,107.8,4525,2,Male,Male-Mid,Fedora,,Normal Beard Black,,,,,,
70,81.81,7446,4,Female,Female-Mid,Crazy Hair,Regular Shades,,,,Cigarette,,,Earring
71,140.99,1869,3,Female,Female-Light,Half Shaved,Green Eye Shadow,,,,,Purple Lipstick,,
72,129.77,2510,4,Male,Male-Dark,Fedora,Nerd Glasses,Normal Beard,,,,,,Earring
73,62.86,9417,3,Female,Female-Mid,Bandana,,,,,,Black Lipstick,,Earring
74,64.32,9266,3,Male,Male-Dark,Mohawk Dark,,Shadow Beard,,,,,,Earring
75,80.86,7544,3,Male,Male-Light,Knitted Cap,Eye Patch,Shadow Beard,,,,,,
76,63.49,9340,2,Male,Male-Light,Do-rag,,,,,Cigarette,,,
77,79.47,7703,2,Male,Male-Dark,Stringy Hair,,Handlebars,,,,,,
78,99.88,5411,3,Male,Male-Mid,Knitted Cap,Eye Patch,Handlebars,,,,,,
79,77.41,8060,2,Male,Male-Dark,Mohawk Dark,,Normal Beard,,,,,,
80,87.86,6758,2,Male,Male-Albino,Wild Hair,,Mustache,,,,,,
81,69.5,8921,2,Male,Male-Light,Headband,Small Shades,,,,,,,
82,84.16,7183,1,Male,Male-Albino,Headband,,,,,,,,
83,113.17,3932,3,Male,Male-Light,Shaved Head,Small Shades,,,,Vape,,,
84,61,9627,3,Male,Male-Light,Messy Hair,Big Shades,,,,,,,Earring
85,76.99,8137,1,Female,Female-Dark,Crazy Hair,,,,,,,,
86,103.84,5007,4,Female,Female-Dark,Knitted Cap,Green Eye Shadow,,,,,Hot Lipstick,,Earring
87,62.31,9479,2,Male,Male-Light,Hoodie,,,,,,,,Earring
88,66.78,9091,2,Female,Female-Light,Cap,,,,,,Hot Lipstick,,
89,300.78,130,1,Female,Female-Dark,,,,,Choker,,,,
90,78.73,7820,2,Male,Male-Mid,Hoodie,Eye Patch,,,,,,,
91,137.64,2053,2,Female,Female-Light,Straight Hair,,,,,,,Clown Nose,
92,158.8,1212,3,Female,Female-Light,Pink With Hat,Nerd Glasses,,,,,Purple Lipstick,,
93,73.28,8592,1,Female,Female-Light,Bandana,,,,,,,,
94,149.46,1472,3,Female,Female-Dark,Pink With Hat,Regular Shades,,,,,,,Earring
95,46.39,9984,2,Male,Male-Mid,Mohawk,,,,,,,,Earring
96,120.51,3343,1,Female,Female-Light,Blonde Bob,,,,,,,,
97,70.56,8836,1,Male,Male-Mid,Wild Hair,,,,,,,,
98,216.97,476,3,Female,Female-Light,Dark Hair,Welding Goggles,,,,,Black Lipstick,,
99,68.78,8972,2,Male,Male-Mid,Hoodie,,,,,Cigarette,,,
100,108.45,4441,1,Female,Female-Mid,Tassle Hat,,,,,,,,
101,85.17,7040,2,Male,Male-Mid,Police Cap,Nerd Glasses,,,,,,,
102,122.42,3157,2,Male,Male-Mid,Vampire Hair,,Luxurious Beard,,,,,,
103,142.28,1783,3,Female,Female-Dark,Blonde Bob,Green Eye Shadow,,,,,Black Lipstick,,
104,104.73,4917,4,Male,Male-Dark,Crazy Hair,Eye Patch,Normal Beard Black,,,,,,Earring
105,70.85,8814,1,Male,Male-Light,Mohawk Thin,,,,,,,,
106,121.93,3205,1,Female,Female-Light,Straight Hair Blonde,,,,,,,,
107,72.82,8642,1,Male,Male-Mid,Headband,,,,,,,,
108,64.76,9221,2,Female,Female-Light,Headband,,,,,,Black Lipstick,,
109,113.79,3891,3,Male,Male-Dark,Fedora,,Handlebars,,,,,,Earring
110,79.02,7779,4,Female,Female-Dark,Mohawk Dark,,,,,Cigarette,Purple Lipstick,,Earring
111,81.74,7458,2,Male,Male-Dark,Knitted Cap,,Handlebars,,,,,,
112,131.83,2360,4,Male,Male-Mid,Bandana,Horned Rim Glasses,Big Beard,,,,,,Earring
113,82.2,7397,1,Male,Male-Albino,Mohawk,,,,,,,,
114,120.86,3317,1,Female,Female-Dark,Red Mohawk,,,,,,,,
115,96.38,5780,2,Female,Female-Dark,Half Shaved,,,,,,,,Earring
116,252.77,286,4,Female,Female-Dark,Tiara,Clown Eyes Blue,,,,,Black Lipstick,,Earring
117,299.86,136,2,Zombie,Zombie,Messy Hair,,Front Beard Dark,,,,,,
118,60.92,9638,2,Female,Female-Light,Bandana,,,,,,Black Lipstick,,
119,52.2,9935,2,Male,Male-Mid,Cap,,,,,,,,Earring
120,97.38,5665,2,Female,Female-Mid,Tassle Hat,Big Shades,,,,,,,
121,221.01,455,2,Female,Female-Light,Tiara,,,,,,Purple Lipstick,,
122,52.83,9924,2,Male,Male-Light,Mohawk,,,,,Cigarette,,,
123,178.13,815,2,Female,Female-Mid,Wild White Hair,,,Spots,,,,,
124,89.19,6646,3,Male,Male-Mid,Peak Spike,,Normal Beard Black,,,,,,Earring
125,110.93,4131,3,Female,Female-Light,Tassle Hat,Big Shades,,,,,Purple Lipstick,,
126,92.25,6300,4,Male,Male-Albino,Headband,Eye Patch,,,,Cigarette,,,Earring
127,70.28,8864,2,Female,Female-Mid,Stringy Hair,Clown Eyes Green,,,,,,,
128,158.36,1222,4,Male,Male-Light,Police Cap,,Chinstrap,Mole,,Vape,,,
129,148.04,1528,4,Male,Male-Light,Cap Forward,Horned Rim Glasses,,,Gold Chain,Cigarette,,,
130,70.85,8815,1,Male,Male-Light,Mohawk,,,,,,,,
131,105.64,4803,2,Female,Female-Mid,Straight Hair Dark,,,,,,Hot Lipstick,,
132,71.29,8771,1,Male,Male-Dark,Mohawk Thin,,,,,,,,
133,156.58,1266,3,Male,Male-Albino,Purple Hair,,Chinstrap,,,Pipe,,,
134,97.45,5656,1,Male,Male-Mid,Police Cap,,,,,,,,
135,87.55,6790,1,Male,Male-Light,Cap Forward,,,,,,,,
136,95.24,5927,3,Male,Male-Dark,Shaved Head,Clown Eyes Green,Shadow Beard,,,,,,
137,70.35,8861,1,Male,Male-Dark,Messy Hair,,,,,,,,
138,58.7,9798,2,Male,Male-Light,Stringy Hair,Horned Rim Glasses,,,,,,,
139,73.45,8573,2,Male,Male-Mid,Do-rag,Eye Patch,,,,,,,
140,106.51,4687,1,Female,Female-Dark,,,,,,,Hot Lipstick,,
141,111.77,4049,3,Male,Male-Dark,Headband,3D Glasses,Chinstrap,,,,,,
142,60.06,9707,2,Male,Male-Light,Mohawk,Regular Shades,,,,,,,
143,264.38,249,2,Male,Male-Light,Beanie,Horned Rim Glasses,,,,,,,
144,86.05,6939,3,Male,Male-Dark,Frumpy Hair,,Luxurious Beard,,,Cigarette,,,
145,70.55,8837,1,Male,Male-Light,Wild Hair,,,,,,,,
146,46.37,9986,2,Male,Male-Light,Mohawk,,,,,,,,Earring
147,71.41,8753,2,Male,Male-Albino,Mohawk Thin,Regular Shades,,,,,,,
148,86.8,6855,1,Male,Male-Mid,Hoodie,,,,,,,,
149,91.68,6370,3,Male,Male-Light,Messy Hair,Big Shades,Luxurious Beard,,,,,,
150,82.37,7379,2,Female,Female-Mid,,,,,,,Purple Lipstick,,Earring
151,70.14,8871,2,Male,Male-Mid,Stringy Hair,VR,,,,,,,
152,67.9,9028,2,Male,Male-Light,Mohawk Dark,Clown Eyes Green,,,,,,,
153,83.2,7292,3,Male,Male-Mid,Cap,Eye Mask,,,,,,,Earring
154,79.62,7681,3,Male,Male-Dark,Hoodie,,Shadow Beard,,,,,,Earring
155,135.1,2187,2,Male,Male-Dark,Clown Hair Green,,,,,,,Clown Nose,
156,84.67,7107,2,Male,Male-Dark,Cap Forward,Small Shades,,,,,,,
157,58.66,9801,2,Male,Male-Mid,Cap,,,,,Cigarette,,,
158,91.53,6392,3,Male,Male-Light,Wild Hair,Regular Shades,Goat,,,,,,
159,45.3,9997,2,Male,Male-Light,Stringy Hair,,,,,,,,Earring
160,168.27,987,3,Female,Female-Mid,Pigtails,Clown Eyes Blue,,,,,Purple Lipstick,,
161,61.27,9602,2,Female,Female-Dark,Frumpy Hair,,,,,,Hot Lipstick,,
162,92.22,6302,3,Male,Male-Mid,Frumpy Hair,Horned Rim Glasses,Normal Beard Black,,,,,,
163,73.87,8545,2,Male,Male-Dark,Shaved Head,Eye Patch,,,,,,,
164,74.22,8509,2,Female,Female-Mid,Stringy Hair,VR,,,,,,,
165,89.81,6592,3,Male,Male-Mid,Mohawk Dark,,Front Beard Dark,,,Cigarette,,,
166,71.15,8789,2,Male,Male-Dark,Shaved Head,Regular Shades,,,,,,,
167,62.71,9438,2,Female,Female-Mid,Headband,,,,,,Hot Lipstick,,
168,190.82,674,3,Female,Female-Light,Blonde Bob,Blue Eye Shadow,,,Silver Chain,,,,
169,127.45,2696,3,Female,Female-Mid,Wild White Hair,Regular Shades,,,,,Hot Lipstick,,
170,85.18,7039,3,Male,Male-Light,Peak Spike,Classic Shades,,Mole,,,,,
171,59.15,9773,3,Male,Male-Mid,Stringy Hair,,,Mole,,,,,Earring
172,138.84,1982,3,Female,Female-Mid,Blonde Bob,3D Glasses,,,,,Purple Lipstick,,
173,186.08,716,5,Female,Female-Dark,Messy Hair,Clown Eyes Blue,,Mole,,Pipe,Hot Lipstick,,
174,62.06,9515,3,Male,Male-Dark,Wild Hair,Horned Rim Glasses,,,,,,,Earring
175,65.61,9159,2,Male,Male-Mid,Cap,Big Shades,,,,,,,
176,85.32,7026,4,Female,Female-Dark,Wild Hair,Regular Shades,,,,,Purple Lipstick,,Earring
177,75.6,8358,2,Male,Male-Dark,Bandana,,Luxurious Beard,,,,,,
178,101.95,5217,1,Male,Male-Mid,Fedora,,,,,,,,
179,89.24,6643,3,Male,Male-Albino,Mohawk Thin,Classic Shades,Shadow Beard,,,,,,
180,223.83,425,2,Female,Female-Dark,Pilot Helmet,,,,,,Hot Lipstick,,
181,71.29,8772,1,Male,Male-Dark,Mohawk,,,,,,,,
182,92.53,6261,1,Male,Male-Albino,Peak Spike,,,,,,,,
183,106.3,4725,1,Male,Male-Light,,,Shadow Beard,,,,,,
184,128,2644,2,Female,Female-Dark,Blonde Bob,Green Eye Shadow,,,,,,,
185,111.82,4043,2,Female,Female-Light,Wild White Hair,,,,,,Hot Lipstick,,
186,78.73,7821,2,Male,Male-Dark,Crazy Hair,,Mustache,,,,,,
187,118.71,3471,1,Female,Female-Light,Straight Hair,,,,,,,,
188,71.48,8745,3,Male,Male-Dark,Peak Spike,Nerd Glasses,,,,,,,Earring
189,61.87,9536,2,Female,Female-Light,Mohawk Thin,,,,,,Purple Lipstick,,
190,73.24,8596,1,Male,Male-Dark,Headband,,,,,,,,
191,75.51,8370,1,Female,Female-Dark,Mohawk,,,,,,,,
192,111.7,4057,4,Male,Male-Mid,Mohawk Thin,Nerd Glasses,,,,,,Clown Nose,Earring
193,117.95,3540,3,Female,Female-Light,Tassle Hat,Green Eye Shadow,,,,,,,Earring
194,66.96,9080,2,Male,Male-Light,Wild Hair,Clown Eyes Green,,,,,,,
195,109.65,4290,2,Female,Female-Light,Straight Hair Blonde,Nerd Glasses,,,,,,,
196,110.03,4236,3,Female,Female-Light,Tassle Hat,Big Shades,,,,,Hot Lipstick,,
197,63.16,9379,2,Male,Male-Dark,Frumpy Hair,Eye Patch,,,,,,,
198,281.67,193,2,Male,Male-Mid,Beanie,,Luxurious Beard,,,,,,
199,120.16,3373,2,Female,Female-Light,Blonde Short,Classic Shades,,,,,,,
200,75.21,8404,1,Female,Female-Dark,Wild Hair,,,,,,,,
201,150.25,1442,4,Female,Female-Mid,Dark Hair,Blue Eye Shadow,,,,Cigarette,Hot Lipstick,,
202,65.98,9140,3,Female,Female-Light,Headband,,,,,,Purple Lipstick,,Earring
203,93.63,6126,3,Male,Male-Light,Messy Hair,Regular Shades,Front Beard,,,,,,
204,61.55,9573,2,Male,Male-Mid,Crazy Hair,Regular Shades,,,,,,,
205,92.9,6214,3,Male,Male-Mid,Mohawk Dark,Big Shades,Normal Beard Black,,,,,,
206,115.09,3799,3,Male,Male-Light,Cap Forward,,,,,Cigarette,,Clown Nose,
207,102.86,5117,3,Male,Male-Light,Peak Spike,Eye Patch,,,,Pipe,,,
208,88.88,6675,3,Male,Male-Mid,Shaved Head,3D Glasses,,,,,,,Earring
209,60.24,9690,2,Female,Female-Dark,Stringy Hair,,,,,,Hot Lipstick,,
210,95.36,5915,2,Female,Female-Mid,Straight Hair Dark,,,,,,,,Earring
211,76.42,8239,2,Male,Male-Dark,Mohawk Thin,,Goat,,,,,,
212,62.8,9424,2,Female,Female-Dark,Crazy Hair,,,,,,Hot Lipstick,,
213,76.43,8236,1,Female,Female-Mid,Crazy Hair,,,,,,,,
214,80.99,7530,2,Male,Male-Dark,Mohawk,,Front Beard Dark,,,,,,
215,74.95,8440,1,Female,Female-Mid,Mohawk,,,,,,,,
216,68.98,8959,1,Male,Male-Mid,Bandana,,,,,,,,
217,80.35,7607,3,Male,Male-Mid,Mohawk Dark,,Chinstrap,,,,,,Earring
218,121.02,3301,4,Male,Male-Light,Cap,Regular Shades,Handlebars,Mole,,,,,
219,153.9,1346,4,Female,Female-Dark,Bandana,Clown Eyes Blue,,Rosy Cheeks,,,,,Earring
220,73.08,8606,2,Male,Male-Albino,Headband,Big Shades,,,,,,,
221,105.26,4856,4,Male,Male-Dark,Stringy Hair,Classic Shades,Muttonchops,,,Cigarette,,,
222,107.95,4506,3,Male,Male-Light,Do-rag,Small Shades,,,,Pipe,,,
223,92.17,6313,3,Male,Male-Light,Crazy Hair,Nerd Glasses,Normal Beard,,,,,,
224,76.7,8186,4,Male,Male-Light,Headband,Nerd Glasses,,,,Cigarette,,,Earring
225,187.29,704,3,Female,Female-Mid,Orange Side,,,,,,Hot Lipstick,,Earring
226,105.95,4769,1,Female,Female-Mid,,,,,,,Hot Lipstick,,
227,125.8,2822,1,Female,Female-Mid,Wild White Hair,,,,,,,,
228,77.88,7978,2,Male,Male-Mid,Peak Spike,Small Shades,,,,,,,
229,51.89,9941,2,Male,Male-Light,Messy Hair,,,,,Cigarette,,,
230,78.68,7831,2,Male,Male-Dark,Knitted Cap,,Luxurious Beard,,,,,,
231,79.14,7757,3,Female,Female-Mid,Stringy Hair,,,,,Pipe,,,Earring
232,83.04,7305,2,Female,Female-Dark,Wild Hair,Blue Eye Shadow,,,,,,,
233,74.16,8514,2,Female,Female-Albino,Bandana,,,,,,Hot Lipstick,,
234,59.76,9738,2,Male,Male-Light,Knitted Cap,Nerd Glasses,,,,,,,
235,52.78,9927,2,Male,Male-Light,Frumpy Hair,,,,,Cigarette,,,
236,120.45,3354,2,Male,Male-Light,Vampire Hair,,Muttonchops,,,,,,
237,60.49,9671,2,Male,Male-Dark,Mohawk,Regular Shades,,,,,,,
238,116.25,3701,2,Female,Female-Mid,Straight Hair Dark,Clown Eyes Green,,,,,,,
239,112.81,3963,3,Male,Male-Dark,Mohawk,,Goat,,,,Frown,,
240,110.64,4175,2,Female,Female-Mid,Straight Hair Blonde,Big Shades,,,,,,,
241,121.93,3206,1,Female,Female-Light,Wild Blonde,,,,,,,,
242,62.08,9513,2,Female,Female-Dark,Stringy Hair,,,,,,Black Lipstick,,
243,121.48,3253,4,Male,Male-Light,Police Cap,,Front Beard,,,Cigarette,,,Earring
244,77.41,8061,3,Female,Female-Light,Wild Hair,Regular Shades,,,,,Purple Lipstick,,
245,116.53,3671,1,Female,Female-Dark,Dark Hair,,,,,,,,
246,88.68,6692,3,Male,Male-Albino,Bandana,,Luxurious Beard,,,,,,Earring
247,83.28,7284,2,Female,Female-Dark,Mohawk Dark,Green Eye Shadow,,,,,,,
248,82.98,7310,2,Female,Female-Dark,Messy Hair,Purple Eye Shadow,,,,,,,
249,199.55,617,1,Female,Female-Light,Orange Side,,,,,,,,
250,73.46,8572,3,Female,Female-Mid,Frumpy Hair,Clown Eyes Green,,,,,,,Earring
251,82.93,7316,2,Female,Female-Light,Mohawk Dark,Green Eye Shadow,,,,,,,
252,86.11,6932,2,Male,Male-Albino,Cap Forward,,,Mole,,,,,
253,126.77,2749,2,Female,Female-Dark,Blonde Short,Clown Eyes Green,,,,,,,
254,101.94,5218,1,Male,Male-Light,Fedora,,,,,,,,
255,87.47,6794,2,Male,Male-Light,Shaved Head,,Mustache,,,,,,
256,136.83,2095,4,Male,Male-Dark,Fedora,Eye Patch,,,,Vape,,,Earring
257,86.42,6899,2,Male,Male-Light,Cap,,,,,,Frown,,
258,96.82,5725,2,Male,Male-Mid,Cap Forward,,Handlebars,,,,,,
259,94.07,6078,3,Male,Male-Light,Cap Forward,Eye Mask,,,,,,,Earring
260,114.41,3856,2,Male,Male-Dark,Purple Hair,3D Glasses,,,,,,,
261,114.01,3874,2,Female,Female-Dark,Wild White Hair,,,,,,Black Lipstick,,
262,119.56,3411,2,Female,Female-Dark,Blonde Short,Regular Shades,,,,,,,
263,85.51,7003,2,Male,Male-Albino,Messy Hair,,Muttonchops,,,,,,
264,116.61,3661,2,Female,Female-Albino,Wild White Hair,,,,,,,,Earring
265,121.04,3299,3,Male,Male-Dark,Cap Forward,,,,Gold Chain,,,,Earring
266,80.78,7552,3,Male,Male-Dark,Do-rag,Small Shades,,,,,,,Earring
267,121.3,3273,2,Male,Male-Dark,Fedora,,,,,,,Clown Nose,
268,76.35,8253,1,Female,Female-Light,Knitted Cap,,,,,,,,
269,124.31,2969,4,Male,Male-Dark,Hoodie,Small Shades,Luxurious Beard,,,,,,Earring
270,116.57,3664,2,Female,Female-Mid,Red Mohawk,Clown Eyes Blue,,,,,,,
271,69.79,8895,1,Male,Male-Mid,Stringy Hair,,,,,,,,
272,169.57,957,2,Male,Male-Mid,Messy Hair,,,,,,Buck Teeth,,
273,76.47,8231,2,Male,Male-Light,Cap Forward,Big Shades,,,,,,,
274,109.34,4330,4,Male,Male-Light,Cap,Regular Shades,Handlebars,,,,,,Earring
275,95.61,5882,3,Female,Female-Mid,Stringy Hair,Purple Eye Shadow,,,,,Purple Lipstick,,
276,76.64,8201,1,Female,Female-Light,Crazy Hair,,,,,,,,
277,120.51,3344,1,Female,Female-Light,Red Mohawk,,,,,,,,
278,122.78,3124,2,Female,Female-Albino,Straight Hair Dark,,,,,,Black Lipstick,,
279,142.88,1755,3,Female,Female-Mid,Straight Hair Blonde,Blue Eye Shadow,,,,,Purple Lipstick,,
280,102.92,5112,1,Male,Male-Albino,,,,,,,,,Earring
281,1308.8,18,0,Male,Male-Light,,,,,,,,,
282,125.28,2864,2,Female,Female-Albino,Straight Hair Dark,Classic Shades,,,,,,,
283,60.92,9639,2,Female,Female-Light,Frumpy Hair,,,,,,Hot Lipstick,,
284,82.2,7398,1,Male,Male-Albino,Mohawk Thin,,,,,,,,
285,102.89,5114,2,Female,Female-Light,Dark Hair,,,,,,Purple Lipstick,,
286,87.04,6829,2,Male,Male-Albino,Wild Hair,,Goat,,,,,,
287,107.25,4599,3,Female,Female-Albino,Mohawk,Purple Eye Shadow,,,,Cigarette,,,
288,92.86,6220,1,Male,Male-Albino,Shaved Head,,,,,,,,
289,66.87,9085,2,Female,Female-Mid,Mohawk Thin,Eye Patch,,,,,,,
290,121.72,3225,1,Female,Female-Mid,Wild Blonde,,,,,,,,
291,46.39,9985,2,Male,Male-Mid,Mohawk Thin,,,,,,,,Earring
292,96.31,5791,2,Female,Female-Light,Tassle Hat,,,,,,Black Lipstick,,
293,80.75,7558,2,Male,Male-Light,Mohawk Dark,,Handlebars,,,,,,
294,78.3,7899,3,Male,Male-Dark,Hoodie,Big Shades,,,,,,,Earring
295,91.28,6417,2,Male,Male-Mid,Shaved Head,,,,,,Frown,,
296,70.87,8806,1,Male,Male-Mid,Mohawk Thin,,,,,,,,
297,76.59,8213,2,Male,Male-Mid,Crazy Hair,,Muttonchops,,,,,,
298,120.51,3345,1,Female,Female-Light,Half Shaved,,,,,,,,
299,86.19,6926,2,Male,Male-Dark,Do-rag,,Muttonchops,,,,,,
300,77.95,7961,2,Male,Male-Light,Headband,,Goat,,,,,,
301,155.16,1312,3,Female,Female-Albino,Red Mohawk,Green Eye Shadow,,,,,Hot Lipstick,,
302,94.23,6058,3,Female,Female-Mid,Bandana,Blue Eye Shadow,,,,,Purple Lipstick,,
303,107.57,4553,2,Female,Female-Dark,Red Mohawk,,,,,,Purple Lipstick,,
304,71.45,8748,2,Male,Male-Mid,Peak Spike,,Shadow Beard,,,,,,
305,149.28,1475,3,Female,Female-Albino,Blonde Bob,VR,,,,,Purple Lipstick,,
306,83.19,7294,2,Female,Female-Light,Wild Hair,,,,,Vape,,,
307,77.52,8035,2,Male,Male-Mid,Frumpy Hair,,Chinstrap,,,,,,
308,72.69,8650,3,Male,Male-Light,Messy Hair,Horned Rim Glasses,,Mole,,,,,
309,70.45,8847,2,Male,Male-Mid,Shaved Head,Big Shades,,,,,,,
310,102.08,5207,4,Male,Male-Dark,Bandana,Classic Shades,,,,Vape,,,Earring
311,78.67,7835,2,Male,Male-Light,Frumpy Hair,,Front Beard,,,,,,
312,94.25,6055,2,Male,Male-Light,Cap Forward,,Chinstrap,,,,,,
313,62.5,9460,2,Female,Female-Light,Mohawk Dark,,,,,,Purple Lipstick,,
314,113.15,3937,2,Male,Male-Albino,Police Cap,Eye Mask,,,,,,,
315,122.06,3191,3,Female,Female-Mid,Wild White Hair,,,,,Cigarette,Black Lipstick,,
316,73.63,8561,1,Female,Female-Dark,Bandana,,,,,,,,
317,112.07,4022,3,Male,Male-Mid,Bandana,,Chinstrap,,,,Frown,,
318,82.77,7335,3,Female,Female-Albino,Bandana,,,,,Cigarette,Hot Lipstick,,
319,95.57,5887,2,Female,Female-Light,Straight Hair Dark,,,,,,,,Earring
320,70.21,8869,1,Male,Male-Dark,Stringy Hair,,,,,,,,
321,81.19,7507,1,Male,Male-Mid,Peak Spike,,,,,,,,
