Id,Rarity Score,Rank,Background,Body,Shield,Weapon,Mouth,Eyes,Backpack,Headpiece
86,96.45,1010,Solid-Pink,Blue-Cheese,Card-clubs,Rupee-Blue,Closed-mouth,Happy,,Headband
87,192.3,395,Solid-Pink,Strong-Cheese,Fries,Axe,Happy-super,Shut-3,,Straw-hat
88,344.86,76,Gradient4,Shredded-Blue-Cheese,Fries,,Smirk,Happy,,Cowboy
89,672.87,13,Gradient3,Original-Cheese,Bow,Sword-adult,Doinker,Shut-1,Brazil,Oriental-hat
90,90.51,1044,Solid-Blue,Original-Cheese,Card-clubs,Magic-mushroom,Closed-mouth,Tall,,Messy-hair
91,183.49,441,Solid-Green,Original-Cheese,Card-hearts,Baseball-bat,Doinker-happy,Regular,Argentina,Agent-brown
92,222.79,281,Solid-Yellow,Strong-Cheese,Shield-tower,,Happy-super,Regular,Russia,Unicorn
93,163.15,546,Solid-Yellow,Original-Cheese,Soda-can,Axe,Sad-mouth,Shut-3,European-Union,Straw-hat
94,385.81,51,Solid-Yellow,Original-Cheese,Teddy,Balloons,Not-amused,Wizard,wingsPink,Cowboy
95,516.79,21,Solid-Pink,Strong-Cheese,Apple-green,Torch,Bubble-gum,Happy,Bomb-bag-lit,Agent-black
96,181.11,444,Solid-Pink,Original-Cheese,Card-hearts,Ice-cream,Not-amused,Shut-1,wingsBlue,Side-cut
97,195.66,384,Solid-Pink,Original-Cheese,,Donut,Doinker-sad,Shut-3,,Headband
98,110.94,929,Solid-Green,Blue-Cheese,SNES-controller,Coin,Doinker,Regular,,Horns
99,504.43,22,Solid-Blue,Original-Cheese,Card-hearts,Coin,Doinker-happy,Not-Super-Clever,Kid-careless,Cap
100,319.19,97,Solid-Pink,Original-Cheese,Nipples,Coin,Smirk,Happy,wingsBlue,Flower
101,148.24,645,Solid-Green,Strong-Cheese,Apple-green,Spatula,Doinker-happy,Shut-4,Argentina,Horns
102,308.84,113,Gradient5,Original-Cheese,Drink-orange,Torch,Pipe,Happy,Japan,Irish
103,286.62,147,Solid-Yellow,Original-Cheese,Soft-drink,Katana-wrong,Closed-mouth,Disapproval-Left,,Flower
104,327.85,88,Solid-Blue,Original-Cheese,Shield-rainbow,,Mutt,Not-Super-Clever,Bomb-bag,Cap
105,300.04,118,Gradient4,Original-Cheese,Baseball,Pitchfork,Doinker-sad,Eye-patch,China,Headband
106,106.01,959,Solid-Yellow,Original-Cheese,Soda-can,Balloons,Doinker,Not-Super-Clever,Jetpack-Blue,
107,424.77,36,Solid-Green,Original-Cheese,Diamond,Pitchfork,Sad-mouth,Stoned,Belgium,
108,139.83,703,Solid-Pink,Original-Cheese,,Balloons,Doinker,Looking-Down-Left,Turkey,Straw-hat
1001,203.96,353,Solid-Yellow,Original-Cheese,Fries,,Mustache,Shut-1,Fork,Unicorn
1002,219.3,299,Solid-Blue,Original-Cheese,,Axe,Doinker,Stoned,,Irish
1003,283.55,152,Solid-Pink,Original-Cheese,Card-clubs,Katana-wrong,Not-amused,Not-Super-Clever,USA,Agent-black
1004,258.25,190,Solid-Green,Original-Cheese,Shield-tower,Middle-finger,Doinker-sad,Disapproval-Right,,Agent-brown
1005,136.85,731,Solid-Green,Cheese-on-a-Stick,Drink-orange,Coin,Smile,Happy,Australia,Horns
1006,95.81,1013,Solid-Yellow,Original-Cheese,Apple-green,Spatula,Smile,Regular,Turkey,
1007,322.25,93,Gradient2,Blue-Cheese,Card-clubs,,Pacifier-pink,Looking-Up-Left,Italy,Agent-brown
1008,152.12,621,Solid-Yellow,Original-Cheese,Fries,Axe,Happy-open,Happy,Russia,Agent-black
1009,153.51,611,Solid-Yellow,Strong-Cheese,Soda-can,Ice-cream,Doinker-happy,Shut-4,Bomb-bag,Cowboy
1010,117.49,880,Solid-Pink,Original-Cheese,SNES-controller,Baseball-bat,Smirk,Looking-Up-Right,,
1011,151.02,633,Solid-Pink,Original-Cheese,Apple-red,Spatula,Happy-open,Shut-2,Jetpack-Orange,Flower
1012,219.74,295,Gradient5,Original-Cheese,SNES-controller,Gun-red,Closed-mouth,Great-thinker,New-Zealand,
1013,373.81,57,Solid-Green,Blue-Cheese,Card-clubs,Spatula,Pipe,Looking-Down-Right,Jetpack-Orange,Cap-propeller
1014,367.27,62,Solid-Yellow,Blue-Cheese,Drink-red,Middle-finger,Closed-mouth,Puppy-eyes,Italy,Flower
1015,95.5,1016,Solid-Yellow,Strong-Cheese,Baseball,Axe,Closed-mouth,Crying,Bomb-bag,
1016,250.83,209,Solid-Green,Original-Cheese,Bible,,Closed-mouth,Dilated,Norway,Stovepipe
1017,134.66,744,Solid-Blue,Original-Cheese,Drink-blue,Pitchfork,Doinker-sad,Shut-3,,Headband
1018,105.95,961,Solid-Green,Original-Cheese,,Magic-mushroom,Closed-mouth,Round-glasses,Bomb-bag,Sombrero
1019,177.31,464,Solid-Yellow,Original-Cheese,,Balloons,Doinker,Disapproval-Left,Turkey,Messy-hair
1020,116.7,881,Solid-Blue,Strong-Cheese,Apple-green,Rupee-Blue,Doinker-sad,Not-Super-Clever,Australia,Side-cut
1021,168.31,519,Solid-Blue,Strong-Cheese,Bible,Axe,Doinker-happy,Not-Super-Clever,,Halo-silver
1022,224.8,274,Gradient5,Original-Cheese,Soda-can,Coin,Mustache,Looking-Up-Left,Turkey,Joker
1023,257.84,191,Solid-Blue,Strong-Cheese,Baseball,Balloons,Sad-mouth,Looking-Down-Left,USA,Viking
1024,223.02,279,Gradient4,Original-Cheese,SNES-controller,Rupee-Green,Open-mouth,Tall,Denmark,Halo-silver
1025,95.09,1023,Solid-Blue,Original-Cheese,Soda-can,Rupee-Green,Open-mouth,Shut-1,,
1026,134.16,749,Solid-Pink,Strong-Cheese,SNES-controller,Torch,Doinker-happy,Crying,Russia,
1027,175.45,474,Solid-Blue,Original-Cheese,Fries,Balloons,Doinker-happy,Regular,Netherlands,Oriental-hat
1028,152.63,617,Solid-Blue,Strong-Cheese,,Axe,Smile,Regular,Brazil,Pink-punk
1029,212.52,327,Solid-Green,Original-Cheese,Soft-drink,Rupee-Green,Sad-mouth,Robin,El-Salvador,Agent-brown
1030,137.39,723,Solid-Blue,Original-Cheese,Heart,Nemo,Sad-mouth,Regular,wingsBlue,Cap
1031,187.89,415,Solid-Green,Strong-Cheese,Drink-blue,,Doinker,Dilated,USA,Agent-black
1032,132.85,758,Solid-Yellow,Original-Cheese,,Torch,Smirk,Looking-Down-Left,Denmark,Sombrero
1033,151.18,630,Solid-Pink,Original-Cheese,Card-diamonds,Balloons,Doinker-sad,Crying,Singapore,Sombrero
1034,137.01,728,Solid-Blue,Strong-Cheese,Shield-tower,Pitchfork,Closed-mouth,Tall,El-Salvador,Flower
1035,100.58,993,Solid-Green,Original-Cheese,Apple-green,Magic-mushroom,Doinker-happy,Tall,wingsBlue,Horns
1036,276.78,160,Solid-Blue,Original-Cheese,Card-clubs,Donut,Not-amused,Puppy-eyes,Australia,
1037,110.73,931,Solid-Blue,Original-Cheese,,Scythe,Smile,Not-Super-Clever,Jetpack-Orange,
1038,148.21,646,Solid-Pink,Strong-Cheese,Soft-drink,,Doinker-happy,Looking-Up-Left,Fork,Halo-silver
1039,268.88,172,Solid-Yellow,Blue-Cheese,Card-clubs,Rupee-Blue,Doinker,Regular,Bomb-bag-lit,Oriental-hat
1040,63.62,1094,Solid-Blue,Original-Cheese,Soda-can,Baseball-bat,Closed-mouth,Not-Super-Clever,,
1041,687.48,12,Solid-Green,Original-Cheese,Card-hearts,Sword-kid,Doinker,Happy,Singapore,Headset
1042,148.92,641,Solid-Yellow,Original-Cheese,Soft-drink,Sword-kid,Smile,Looking-Down-Left,wingsBlue,Police-hat
1043,95.55,1014,Solid-Green,Original-Cheese,Soft-drink,Rupee-Blue,Doinker,Tall,,Joker
1044,142.63,682,Solid-Yellow,Original-Cheese,,Sword-kid,Doinker,Out-cold,,Halo-silver
1045,144.23,673,Solid-Yellow,Strong-Cheese,Card-diamonds,Gun-red,Doinker-sad,Looking-Down-Left,wingsBlue,Straw-hat
1046,252.3,206,Solid-Yellow,Blue-Cheese,Bow,Axe,Smirk,Great-thinker,Italy,Unicorn
1047,157.31,588,Solid-Pink,Strong-Cheese,Drink-orange,Coin,Doinker-happy,Tall,Malaysia,Joker
1048,213.44,323,Solid-Green,Original-Cheese,Card-clubs,Rupee-Green,Happy-open,Shut-4,Denmark,Viking
1049,99.26,1001,Solid-Green,Original-Cheese,Soda-can,Torch,Doinker-happy,Round-glasses,wingsBlue,
1050,166.43,526,Solid-Pink,Original-Cheese,Soda-can,Pitchfork,Doinker-happy,Crossed-1,wingsBlue,Flower
1051,244.55,218,Solid-Yellow,Original-Cheese,,Pitchfork,Happy-open,Shut-4,Bomb-bag-lit,Headband
1052,158.94,574,Solid-Green,Original-Cheese,Heart,Magic-mushroom,Doinker-sad,Looking-Up-Right,Singapore,Halo-silver
1053,104.82,968,Solid-Green,Original-Cheese,,Axe,Doinker-sad,Looking-Down-Right,,Headband
1054,274.95,162,Gradient5,Original-Cheese,Soft-drink,Axe,Smirk,Shut-2,Argentina,Cap-propeller
1055,110.06,933,Solid-Blue,Original-Cheese,Drink-orange,Rupee-Green,Doinker,Round-glasses,,Irish
1056,219.63,297,Solid-Pink,Original-Cheese,,Baseball-bat,Happy-super,Regular,Fork,Police-hat
1057,82.14,1071,Solid-Yellow,Original-Cheese,Apple-green,Balloons,Doinker-happy,Crying,,
1058,104.79,969,Solid-Green,Original-Cheese,Card-clubs,Balloons,Happy-open,Regular,China,
1059,155.41,599,Solid-Green,Original-Cheese,Apple-red,Balloons,Smile,Sunglasses,wingsBlue,Joker
1060,90.39,1045,Solid-Blue,Strong-Cheese,Heart,,Closed-mouth,Regular,wingsPink,Halo-silver
1061,146.61,657,Solid-Pink,Original-Cheese,Card-hearts,Torch,Doinker-happy,Great-thinker,,
1062,84.67,1064,Solid-Blue,Original-Cheese,Heart,Coin,Sad-mouth,Regular,,
1063,97.53,1006,Solid-Blue,Original-Cheese,Card-clubs,Middle-finger,Doinker-sad,Looking-Up-Left,,
1064,183.04,442,Solid-Green,Blue-Cheese,Apple-red,,Closed-mouth,Shut-2,Denmark,Oriental-hat
1065,259.02,186,Solid-Green,Blue-Cheese,,Gun-red,Doinker,Disapproval-Right,Puerto-Rico,Headband
1066,139.7,704,Solid-Blue,Strong-Cheese,Card-clubs,Balloons,Closed-mouth,Happy,Belgium,Stovepipe
1067,318.29,102,Solid-Green,Original-Cheese,Apple-worm,Rupee-Green,Doinker-happy,Tall,wingsPink,Side-cut
1068,176.43,471,Solid-Yellow,Original-Cheese,Heart,Coin,Not-amused,Shut-3,South-Africa,Side-cut
1069,238.33,230,Solid-Green,Original-Cheese,Card-hearts,Rupee-Green,Doinker-happy,Looking-Down-Left,Bomb-bag,Viking
1070,129.06,785,Solid-Green,Original-Cheese,,Scythe,Happy-open,Happy,Jetpack-Orange,Messy-hair
1071,168.2,520,Solid-Yellow,Blue-Cheese,Heart,,Not-amused,Dilated,Singapore,Side-cut
1072,122.04,851,Solid-Green,Strong-Cheese,Heart,Middle-finger,Happy-open,Regular,Australia,Flower
1073,282.51,155,Solid-Green,Original-Cheese,Apple-red,Coin,Doinker,Puppy-eyes,Jetpack-Green,Beret
1074,192.82,394,Solid-Green,Original-Cheese,Baseball,Baseball-bat,Doinker-happy,Sunglasses,Jetpack-Horizontal,Flower
1075,200.11,363,Solid-Yellow,Original-Cheese,Card-clubs,Axe,Tongue,Looking-Up-Right,wingsPink,Halo-silver
1076,123.94,832,Solid-Yellow,Original-Cheese,Drink-orange,Torch,Happy-open,Looking-Down-Left,Australia,
1077,112.32,922,Solid-Pink,Original-Cheese,Card-hearts,Magic-mushroom,Doinker-happy,Round-glasses,,
1078,114.88,899,Solid-Blue,Original-Cheese,Soda-can,Pitchfork,Doinker,Shut-3,wingsPink,Sombrero
1079,204.36,351,Solid-Green,Original-Cheese,,,Smile,Looking-Up-Left,Jetpack-Orange,Chef
1080,217.38,303,Solid-Green,Original-Cheese,Heart,Rupee-Blue,Pacifier-pink,Crossed-1,wingsPink,Messy-hair
1081,299.92,119,Solid-Pink,Cheese-on-a-Stick,Teddy,,Surgical-mask,Round-glasses,,Irish
1082,146.12,658,Solid-Pink,Original-Cheese,,Coin,Doinker-happy,Shut-1,Brazil,Cowboy
1083,217.24,304,Solid-Yellow,Original-Cheese,Bow,Coin,Doinker-sad,Sunglasses,European-Union,Headband
1084,274.84,163,Solid-Pink,Original-Cheese,Soft-drink,Axe,Closed-mouth,Stoned,Great-Britain,Joker
1085,254.22,200,Solid-Pink,Original-Cheese,Card-clubs,Donut,Happy-open,Regular,Jetpack-Blue,Agent-brown
1086,168.01,522,Solid-Green,Original-Cheese,Heart,Nemo,Doinker-happy,Round-glasses,Jetpack-Green,Joker
1087,100.27,996,Solid-Green,Strong-Cheese,SNES-controller,Balloons,Doinker-sad,Regular,wingsPink,
1088,238.93,227,Gradient5,Original-Cheese,,Gun-bubbles,Doinker-sad,Regular,Australia,Irish
1089,125.27,820,Solid-Pink,Original-Cheese,Baseball,Middle-finger,Doinker,Regular,El-Salvador,Messy-hair
1090,302.02,117,Gradient5,Original-Cheese,Drink-orange,Rupee-Red,Tongue,Crossed-2,,Messy-hair
1091,252.62,205,Solid-Green,Strong-Cheese,Apple-green,Rupee-Green,Happy-open,Shut-2,Bomb-bag-lit,Flower
1092,290.27,138,Solid-Blue,Strong-Cheese,Heart,Gun-red,Smirk,Out-cold,rainbowRoad,
1093,177.25,466,Solid-Green,Original-Cheese,Fries,Rupee-Green,Doinker,Not-Super-Clever,Jetpack-Horizontal,Messy-hair
1094,144.29,672,Solid-Pink,Strong-Cheese,Heart,Pitchfork,Closed-mouth,Shut-4,European-Union,
1095,91.3,1040,Solid-Blue,Original-Cheese,Shield-tower,Rupee-Blue,Smile,Happy,Bomb-bag,
1096,132.76,759,Solid-Pink,Original-Cheese,Drink-orange,Balloons,Closed-mouth,Regular,South-Africa,Messy-hair
1097,186.56,425,Solid-Yellow,Original-Cheese,Card-clubs,,Doinker-sad,Happy,Jetpack-Horizontal,Pink-punk
1098,125.08,821,Solid-Yellow,Original-Cheese,Baseball,,Doinker,Regular,El-Salvador,Stovepipe
1099,121.23,855,Solid-Yellow,Original-Cheese,Drink-orange,Pitchfork,Smile,Not-Super-Clever,Japan,Halo-silver
1100,109.95,934,Solid-Green,Strong-Cheese,Apple-green,Magic-mushroom,Smile,Regular,Belgium,Horns
1101,153.07,615,Solid-Blue,Original-Cheese,Bow,Axe,Pacifier-pink,Regular,,Headband
1102,339.78,79,Solid-Yellow,Strong-Cheese,Card-clubs,,Smile,Wizard,Japan,Crown
1103,129.03,786,Solid-Green,Original-Cheese,SNES-controller,Nemo,Not-amused,Not-Super-Clever,Japan,
1104,155.75,596,Solid-Pink,Original-Cheese,Card-clubs,Rupee-Blue,Closed-mouth,Shut-1,Netherlands,Cowboy
1105,197.82,374,Solid-Blue,Blue-Cheese,Apple-green,Axe,Happy-open,Happy,Bomb-bag,Axe-in-skull
1106,204.86,348,Solid-Pink,Original-Cheese,Shield-rainbow,Pitchfork,Happy-open,Happy,wingsBlue,
1107,164.14,537,Solid-Green,Original-Cheese,Shield-tower,Rupee-Green,Not-amused,Looking-Up-Right,Turkey,Halo-silver
1108,205.74,344,Solid-Yellow,Strong-Cheese,Card-clubs,Sword-kid,Happy-open,Great-thinker,USA,Police-hat
1109,187.16,416,Solid-Pink,Strong-Cheese,Drink-blue,Torch,Smile,Round-glasses,Russia,Joker
1110,97.4,1007,Solid-Pink,Strong-Cheese,Drink-orange,Magic-mushroom,Doinker-sad,Tall,,Flower
1111,252.13,208,Gradient2,Original-Cheese,,Coin,Closed-mouth,Tall,Canada,Horns
1112,114.45,904,Solid-Pink,Original-Cheese,Card-diamonds,Magic-mushroom,Happy-open,Shut-4,wingsBlue,Sombrero
1113,173.1,491,Solid-Blue,Original-Cheese,Card-clubs,Sword-kid,Tongue,Shut-1,,Halo-silver
1114,151.08,632,Solid-Yellow,Original-Cheese,SNES-controller,Spatula,Not-amused,Not-Super-Clever,Italy,Unicorn
1115,107.22,955,Solid-Yellow,Blue-Cheese,Apple-green,Nemo,Doinker-happy,Not-Super-Clever,wingsBlue,Horns
1116,203.45,355,Gradient1,Original-Cheese,Heart,Spatula,Doinker-happy,Sunglasses,Belgium,Joker
1117,241.32,223,Solid-Blue,Original-Cheese,Soft-drink,Magic-mushroom,Smirk,Deal-with-it,Australia,Joker
1118,121.44,854,Solid-Yellow,Original-Cheese,Soda-can,Rupee-Green,Smirk,Tall,USA,
1119,547.06,18,Solid-Blue,Original-Cheese,,,Doinker,Neanderthal,Meteor,Sombrero
1120,214.91,317,Solid-Blue,Cheese-on-a-Stick,Heart,Magic-mushroom,Doinker,Shut-4,Jetpack-Horizontal,Unicorn
2001,140.05,701,Solid-Yellow,Strong-Cheese,Apple-green,Rupee-Blue,Doinker-happy,Regular,Kid-amused,Sombrero
2002,205.98,342,Solid-Green,Strong-Cheese,Shield-tower,Balloons,Sad-mouth,Regular,Jetpack-Horizontal,Unicorn
2003,142.95,679,Solid-Yellow,Strong-Cheese,Card-diamonds,Gun-red,Doinker,Crying,Belgium,Cowboy
2004,371.85,58,Solid-Green,Original-Cheese,Nipples,Magic-mushroom,Smirk,Out-cold,USA,
2005,152.49,619,Solid-Pink,Strong-Cheese,Shield-tower,Sword-kid,Not-amused,Shut-4,Denmark,Sombrero
2006,108.8,944,Solid-Blue,Original-Cheese,Drink-orange,Spatula,Closed-mouth,Tall,,Agent-black
2007,147.32,654,Solid-Yellow,Strong-Cheese,Bow,,Closed-mouth,Shut-2,Jetpack-Orange,Messy-hair
2008,919.98,8,Galactic,Magic-Mold-Cheese,Fries,Magic-mushroom,Smile,Happy,Bomb-bag,Sombrero
